zip,county,cong_dist
00601,Adjuntas,
00602,Aguada,
00603,Aguadilla,
00606,Maricao,
00610,Añasco,
00611,Utuado,
00612,Arecibo,
00616,Arecibo,
00617,Barceloneta,
00622,Cabo Rojo,
00623,Cabo Rojo,
00624,Peñuelas,
00627,Camuy,
00631,Lares,
00636,San Germán,
00637,Sabana Grande,
00638,Ciales,
00641,Utuado,
00646,Dorado,
00647,Guánica,
00650,Florida,
00652,Arecibo,
00653,Guánica,
00656,Guayanilla,
00659,Hatillo,
00660,Hormigueros,
00662,Isabela,
00664,Jayuya,
00667,Lajas,
00669,Lares,
00670,Las Marías,
00674,Manatí,
00676,Moca,
00677,Rincón,
00678,Quebradillas,
00680,Mayagüez,
00682,Mayagüez,
00683,San Germán,
00685,San Sebastián,
00687,Morovis,
00688,Arecibo,
00690,Aguadilla,
00692,Vega Alta,
00693,Vega Baja,
00694,Vega Baja,
00698,Yauco,
00703,Aguas Buenas,
00704,Salinas,
00705,Aibonito,
00707,Maunabo,
00714,Arroyo,
00715,Ponce,
00716,Ponce,
00717,Ponce,
00718,Naguabo,
00719,Naranjito,
00720,Orocovis,
00723,Patillas,
00725,Caguas,
00727,Caguas,
00728,Ponce,
00729,Canóvanas,
00730,Ponce,
00731,Ponce,
00735,Ceiba,
00736,Cayey,
00738,Fajardo,
00739,Cidra,
00740,Fajardo,
00741,Humacao,
00745,Río Grande,
00751,Salinas,
00754,San Lorenzo,
00757,Santa Isabel,
00765,Vieques,
00766,Villalba,
00767,Yabucoa,
00769,Coamo,
00771,Las Piedras,
00772,Loíza,
00773,Luquillo,
00775,Culebra,
00777,Juncos,
00778,Gurabo,
00780,Ponce,
00782,Comerío,
00783,Corozal,
00784,Guayama,
00786,Aibonito,
00791,Humacao,
00794,Barranquitas,
00795,Juana Díaz,
00802,St. Thomas,
00820,St. Croix,
00830,St. John,
00840,St. Croix,
00850,St. Croix,
00851,St. Croix,
00901,San Juan,
00906,San Juan,
00907,San Juan,
00909,San Juan,
00911,San Juan,
00912,San Juan,
00913,San Juan,
00915,San Juan,
00917,San Juan,
00918,San Juan,
00920,San Juan,
00921,San Juan,
00923,San Juan,
00924,San Juan,
00925,San Juan,
00926,San Juan,
00927,San Juan,
00934,Guaynabo,
00949,Toa Baja,
00950,Dorado,
00951,Toa Baja,
00952,Toa Baja,
00953,Toa Alta,
00956,Bayamón,
00957,Bayamón,
00959,Bayamón,
00960,Bayamón,
00961,Bayamón,
00962,Cataño,
00965,Guaynabo,
00966,Guaynabo,
00968,Guaynabo,
00969,Guaynabo,
00971,Guaynabo,
00976,Trujillo Alto,
00979,Carolina,
00982,Carolina,
00983,Carolina,
00985,Carolina,
00987,Carolina,
01001,Hampden,MA-25
01002,Hampshire,MA-25
01003,Hampshire,MA-25
01005,Worcester,MA-25
01007,Hampshire,MA-25
01008,Hampden,MA-25
01009,Hampden,MA-25
01010,Hampden,MA-25
01011,Hampden,MA-25
01012,Hampshire,MA-25
01013,Hampden,MA-25
01020,Hampden,MA-25
01022,Hampden,MA-25
01026,Hampshire,MA-25
01027,Hampshire,MA-25
01028,Hampden,MA-25
01029,Berkshire,MA-25
01030,Hampden,MA-25
01031,Worcester,MA-25
01032,Hampshire,MA-25
01033,Hampshire,MA-25
01034,Hampden,MA-25
01035,Hampshire,MA-25
01036,Hampden,MA-25
01037,Worcester,MA-25
01038,Hampshire,MA-25
01039,Hampshire,MA-25
01040,Hampden,MA-25
01050,Hampshire,MA-25
01053,Hampshire,MA-25
01054,Franklin,MA-25
01056,Hampden,MA-25
01057,Hampden,MA-25
01060,Hampshire,MA-25
01062,Hampshire,MA-25
01063,Hampshire,MA-25
01066,Hampshire,MA-25
01068,Worcester,MA-25
01069,Hampden,MA-25
01070,Hampshire,MA-25
01071,Hampden,MA-25
01072,Franklin,MA-25
01073,Hampshire,MA-25
01074,Worcester,MA-25
01075,Hampshire,MA-25
01077,Hampden,MA-25
01079,Hampden,MA-25
01080,Hampden,MA-25
01081,Hampden,MA-25
01082,Hampshire,MA-25
01083,Worcester,MA-25
01084,Hampshire,MA-25
01085,Hampden,MA-25
01088,Hampshire,MA-25
01089,Hampden,MA-25
01092,Worcester,MA-25
01093,Franklin,MA-25
01094,Worcester,MA-25
01095,Hampden,MA-25
01096,Hampshire,MA-25
01097,Hampden,MA-25
01098,Hampshire,MA-25
01103,Hampden,MA-25
01104,Hampden,MA-25
01105,Hampden,MA-25
01106,Hampden,MA-25
01107,Hampden,MA-25
01108,Hampden,MA-25
01109,Hampden,MA-25
01118,Hampden,MA-25
01119,Hampden,MA-25
01128,Hampden,MA-25
01129,Hampden,MA-25
01144,Hampden,
01151,Hampden,MA-25
01201,Berkshire,MA-25
01220,Berkshire,MA-25
01222,Berkshire,MA-25
01223,Berkshire,MA-25
01224,Berkshire,MA-25
01225,Berkshire,MA-25
01226,Berkshire,MA-25
01229,Berkshire,MA-25
01230,Berkshire,MA-25
01235,Berkshire,MA-25
01236,Berkshire,MA-25
01237,Berkshire,MA-25
01238,Berkshire,MA-25
01240,Berkshire,MA-25
01242,Berkshire,MA-25
01243,Hampshire,MA-25
01244,Berkshire,MA-25
01245,Berkshire,MA-25
01247,Berkshire,MA-25
01253,Berkshire,MA-25
01254,Berkshire,MA-25
01255,Berkshire,MA-25
01256,Berkshire,MA-25
01257,Berkshire,MA-25
01258,Berkshire,MA-25
01259,Berkshire,MA-25
01260,Berkshire,MA-25
01262,Berkshire,MA-25
01264,Berkshire,MA-25
01266,Berkshire,MA-25
01267,Berkshire,MA-25
01270,Berkshire,MA-25
01301,Franklin,MA-25
01330,Franklin,MA-25
01331,Worcester,MA-25
01337,Franklin,MA-25
01338,Franklin,MA-25
01339,Franklin,MA-25
01340,Franklin,MA-25
01341,Franklin,MA-25
01342,Franklin,MA-25
01343,Berkshire,MA-25
01344,Franklin,MA-25
01346,Franklin,MA-25
01347,Franklin,MA-25
01349,Franklin,MA-25
01350,Franklin,MA-25
01351,Franklin,MA-25
01354,Franklin,MA-25
01355,Franklin,MA-25
01360,Franklin,MA-25
01364,Franklin,MA-25
01366,Worcester,MA-25
01367,Franklin,MA-25
01368,Worcester,MA-25
01370,Franklin,MA-25
01373,Franklin,MA-25
01375,Franklin,MA-25
01376,Franklin,MA-25
01378,Franklin,MA-25
01379,Franklin,MA-25
01380,Franklin,
01420,Worcester,MA-25
01430,Worcester,MA-25
01431,Middlesex,MA-25
01432,Middlesex,MA-25
01434,Worcester,MA-25
01436,Worcester,MA-25
01438,Worcester,MA-25
01440,Worcester,MA-25
01450,Middlesex,MA-25
01451,Worcester,MA-25
01452,Worcester,MA-25
01453,Worcester,MA-25
01460,Middlesex,MA-25
01462,Worcester,MA-25
01463,Middlesex,MA-25
01464,Middlesex,MA-25
01468,Worcester,MA-25
01469,Middlesex,MA-25
01473,Worcester,MA-25
01474,Middlesex,MA-25
01475,Worcester,MA-25
01501,Worcester,MA-25
01503,Worcester,MA-25
01504,Worcester,MA-25
01505,Worcester,MA-25
01506,Worcester,MA-25
01507,Worcester,MA-25
01510,Worcester,MA-25
01515,Worcester,MA-25
01516,Worcester,MA-25
01518,Worcester,MA-25
01519,Worcester,MA-25
01520,Worcester,MA-25
01521,Hampden,MA-25
01522,Worcester,MA-25
01523,Worcester,MA-25
01524,Worcester,MA-25
01525,Worcester,MA-25
01527,Worcester,MA-25
01529,Worcester,MA-25
01531,Worcester,MA-25
01532,Worcester,MA-25
01534,Worcester,MA-25
01535,Worcester,MA-25
01536,Worcester,MA-25
01537,Worcester,MA-25
01540,Worcester,MA-25
01541,Worcester,MA-25
01542,Worcester,MA-25
01543,Worcester,MA-25
01545,Worcester,MA-25
01550,Worcester,MA-25
01560,Worcester,MA-25
01561,Worcester,MA-25
01562,Worcester,MA-25
01564,Worcester,MA-25
01566,Worcester,MA-25
01568,Worcester,MA-25
01569,Worcester,MA-25
01570,Worcester,MA-25
01571,Worcester,MA-25
01581,Worcester,MA-25
01583,Worcester,MA-25
01585,Worcester,MA-25
01588,Worcester,MA-25
01590,Worcester,MA-25
01602,Worcester,MA-25
01603,Worcester,MA-25
01604,Worcester,MA-25
01605,Worcester,MA-25
01606,Worcester,MA-25
01607,Worcester,MA-25
01608,Worcester,MA-25
01609,Worcester,MA-25
01610,Worcester,MA-25
01611,Worcester,MA-25
01612,Worcester,MA-25
01701,Middlesex,MA-25
01702,Middlesex,MA-25
01718,Middlesex,MA-25
01719,Middlesex,MA-25
01720,Middlesex,MA-25
01721,Middlesex,MA-25
01730,Middlesex,MA-25
01731,Middlesex,MA-25
01740,Worcester,MA-25
01741,Middlesex,MA-25
01742,Middlesex,MA-25
01745,Worcester,MA-25
01746,Middlesex,MA-25
01747,Worcester,MA-25
01748,Middlesex,MA-25
01749,Middlesex,MA-25
01752,Middlesex,MA-25
01754,Middlesex,MA-25
01756,Worcester,MA-25
01757,Worcester,MA-25
01760,Middlesex,MA-25
01770,Middlesex,MA-25
01772,Worcester,MA-25
01773,Middlesex,MA-25
01775,Middlesex,MA-25
01776,Middlesex,MA-25
01778,Middlesex,MA-25
01801,Middlesex,MA-25
01803,Middlesex,MA-25
01810,Essex,MA-25
01821,Middlesex,MA-25
01824,Middlesex,MA-25
01826,Middlesex,MA-25
01827,Middlesex,MA-25
01830,Essex,MA-25
01832,Essex,MA-25
01833,Essex,MA-25
01834,Essex,MA-25
01835,Essex,MA-25
01840,Essex,MA-25
01841,Essex,MA-25
01843,Essex,MA-25
01844,Essex,MA-25
01845,Essex,MA-25
01850,Middlesex,MA-25
01851,Middlesex,MA-25
01852,Middlesex,MA-25
01854,Middlesex,MA-25
01860,Essex,MA-25
01862,Middlesex,MA-25
01863,Middlesex,MA-25
01864,Middlesex,MA-25
01867,Middlesex,MA-25
01876,Middlesex,MA-25
01879,Middlesex,MA-25
01880,Middlesex,MA-25
01886,Middlesex,MA-25
01887,Middlesex,MA-25
01890,Middlesex,MA-25
01901,Essex,MA-25
01902,Essex,MA-25
01904,Essex,MA-25
01905,Essex,MA-25
01906,Essex,MA-25
01907,Essex,MA-25
01908,Essex,MA-25
01913,Essex,MA-25
01915,Essex,MA-25
01921,Essex,MA-25
01922,Essex,MA-25
01923,Essex,MA-25
01929,Essex,MA-25
01930,Essex,MA-25
01937,Essex,MA-25
01938,Essex,MA-25
01940,Essex,MA-25
01944,Essex,MA-25
01945,Essex,MA-25
01949,Essex,MA-25
01950,Essex,MA-25
01951,Essex,MA-25
01952,Essex,MA-25
01960,Essex,MA-25
01965,Essex,
01966,Essex,MA-25
01969,Essex,MA-25
